,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
10,Good,8.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,-7.0,7,8,3.0,3.0,4.0,0.0,0.0,0.0,3.0,7.0,4.0,1.0,0.0,5.0
11,Bad,0.0,8.0,8.0,5.0,2.0,1.0,0.0,0.0,1.0,3,5,3.0,0.0,2.0,0.0,1.0,1.0,9.0,3.0,5.0,1.0,2.0,8.0
12,Bad,5.0,7.0,1.0,3.0,6.0,0.0,0.0,5.0,-7.0,6,8,7.0,4.0,6.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0
13,Good,4.0,7.0,4.0,8.0,2.0,1.0,1.0,5.0,-7.0,7,8,2.0,1.0,0.0,0.0,0.0,0.0,3.0,-8.0,2.0,-8.0,0.0,5.0
14,Bad,2.0,7.0,8.0,7.0,0.0,2.0,1.0,0.0,6.0,6,4,0.0,0.0,9.0,0.0,0.0,0.0,-8.0,-8.0,-8.0,0.0,-8.0,8.0
15,Bad,2.0,4.0,2.0,5.0,8.0,0.0,0.0,5.0,7.0,6,6,8.0,2.0,5.0,0.0,3.0,3.0,8.0,6.0,7.0,1.0,3.0,7.0
16,Bad,1.0,7.0,7.0,3.0,3.0,0.0,0.0,2.0,0.0,4,6,3.0,0.0,5.0,0.0,2.0,1.0,7.0,4.0,3.0,2.0,1.0,8.0
17,Bad,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,6.0,6,5,4.0,4.0,9.0,0.0,3.0,3.0,4.0,8.0,3.0,3.0,1.0,5.0
18,Bad,9.0,7.0,5.0,9.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-8.0,2.0,-8.0,0.0,2.0
19,Bad,2.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,-7.0,7,8,3.0,2.0,3.0,0.0,3.0,3.0,5.0,6.0,5.0,0.0,0.0,6.0
20,Bad,0.0,3.0,2.0,4.0,7.0,1.0,1.0,5.0,0.0,0,2,7.0,2.0,7.0,0.0,3.0,3.0,6.0,7.0,3.0,1.0,3.0,3.0
21,Bad,5.0,9.0,6.0,6.0,6.0,0.0,0.0,5.0,-7.0,7,8,5.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,5.0
22,Good,5.0,1.0,2.0,2.0,7.0,0.0,0.0,5.0,-7.0,7,8,7.0,2.0,3.0,0.0,1.0,1.0,6.0,2.0,7.0,3.0,3.0,4.0
23,Bad,2.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,4,6,4.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,1.0,2.0
24,Bad,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,0,2,4.0,2.0,8.0,0.0,2.0,2.0,4.0,6.0,6.0,2.0,1.0,7.0
25,Bad,0.0,7.0,2.0,5.0,6.0,2.0,1.0,3.0,4.0,0,5,7.0,2.0,7.0,0.0,1.0,1.0,8.0,2.0,7.0,1.0,0.0,8.0
26,Bad,0.0,3.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,4,5,5.0,0.0,7.0,0.0,1.0,1.0,9.0,1.0,6.0,2.0,0.0,8.0
27,Bad,7.0,3.0,4.0,7.0,4.0,0.0,0.0,5.0,-7.0,7,8,3.0,1.0,4.0,0.0,0.0,0.0,4.0,-8.0,3.0,0.0,1.0,3.0
28,Bad,3.0,8.0,8.0,8.0,3.0,2.0,1.0,1.0,1.0,4,4,3.0,0.0,8.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0
29,Bad,4.0,9.0,5.0,9.0,9.0,2.0,1.0,5.0,-7.0,6,8,8.0,1.0,5.0,0.0,3.0,3.0,7.0,2.0,7.0,1.0,3.0,8.0
30,Good,4.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,7.0,6,2,4.0,4.0,5.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
31,Bad,0.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,2.0,0,2,2.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,1.0,8.0
32,Bad,3.0,2.0,4.0,1.0,9.0,2.0,1.0,5.0,-7.0,6,8,8.0,4.0,9.0,0.0,2.0,2.0,3.0,4.0,5.0,1.0,0.0,2.0
33,Good,6.0,3.0,2.0,3.0,4.0,0.0,0.0,5.0,-7.0,7,8,4.0,2.0,2.0,0.0,0.0,0.0,7.0,8.0,5.0,0.0,1.0,3.0
34,Bad,3.0,1.0,4.0,0.0,6.0,2.0,1.0,2.0,9.0,6,2,6.0,4.0,6.0,0.0,0.0,0.0,5.0,4.0,5.0,2.0,1.0,5.0
35,Good,9.0,3.0,8.0,7.0,2.0,0.0,0.0,5.0,-7.0,7,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,-8.0,0.0,0.0
36,Bad,0.0,5.0,6.0,7.0,6.0,2.0,1.0,1.0,1.0,0,2,6.0,0.0,8.0,0.0,3.0,2.0,9.0,2.0,5.0,2.0,3.0,8.0
37,Bad,4.0,2.0,8.0,2.0,6.0,0.0,0.0,4.0,-8.0,6,6,6.0,0.0,0.0,0.0,0.0,0.0,7.0,-8.0,7.0,-8.0,1.0,5.0
38,Bad,2.0,1.0,6.0,0.0,3.0,1.0,1.0,3.0,9.0,6,2,3.0,1.0,0.0,0.0,2.0,2.0,7.0,-8.0,3.0,0.0,2.0,3.0
39,Bad,7.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,-7.0,7,8,1.0,4.0,9.0,0.0,2.0,2.0,2.0,-8.0,3.0,-8.0,0.0,6.0
40,Good,9.0,8.0,7.0,6.0,2.0,0.0,0.0,5.0,-7.0,7,8,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-8.0,2.0
41,Good,9.0,6.0,6.0,4.0,2.0,0.0,0.0,5.0,-7.0,7,8,2.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,5.0
42,Bad,6.0,8.0,2.0,4.0,8.0,0.0,0.0,5.0,-7.0,7,8,8.0,1.0,6.0,0.0,2.0,2.0,5.0,-8.0,7.0,0.0,0.0,8.0
43,Bad,4.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,-7.0,7,8,4.0,2.0,2.0,0.0,2.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0
44,Bad,5.0,7.0,7.0,7.0,9.0,0.0,0.0,5.0,-7.0,7,8,9.0,0.0,2.0,0.0,1.0,1.0,9.0,-8.0,7.0,0.0,3.0,7.0
45,Bad,5.0,6.0,1.0,7.0,9.0,0.0,0.0,5.0,-7.0,7,8,9.0,3.0,6.0,0.0,1.0,1.0,6.0,-8.0,6.0,1.0,2.0,7.0
46,Good,8.0,9.0,2.0,8.0,7.0,0.0,0.0,5.0,-7.0,7,8,7.0,2.0,4.0,0.0,2.0,2.0,4.0,7.0,6.0,2.0,0.0,5.0
47,Good,9.0,8.0,4.0,8.0,7.0,0.0,0.0,5.0,-7.0,7,8,7.0,1.0,6.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,0.0,3.0
48,Bad,0.0,1.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,4,6,4.0,1.0,8.0,0.0,1.0,1.0,9.0,8.0,7.0,1.0,3.0,8.0
49,Bad,2.0,9.0,6.0,7.0,9.0,0.0,0.0,2.0,0.0,4,6,9.0,0.0,4.0,0.0,3.0,3.0,8.0,-8.0,7.0,-8.0,3.0,4.0
50,Bad,7.0,5.0,8.0,6.0,3.0,0.0,0.0,5.0,-7.0,7,8,3.0,0.0,6.0,0.0,3.0,3.0,7.0,1.0,2.0,1.0,-8.0,5.0
51,Good,7.0,7.0,7.0,5.0,8.0,0.0,0.0,5.0,9.0,6,6,8.0,0.0,5.0,0.0,2.0,2.0,4.0,-8.0,4.0,0.0,0.0,3.0
52,Bad,6.0,4.0,7.0,7.0,5.0,0.0,0.0,5.0,-7.0,7,8,5.0,0.0,3.0,0.0,0.0,0.0,9.0,8.0,7.0,2.0,3.0,8.0
53,Bad,4.0,4.0,5.0,7.0,5.0,0.0,0.0,4.0,5.0,5,6,4.0,1.0,4.0,0.0,0.0,0.0,8.0,4.0,7.0,3.0,3.0,8.0
54,Bad,7.0,9.0,4.0,4.0,9.0,0.0,0.0,5.0,6.0,5,6,9.0,3.0,7.0,0.0,2.0,2.0,2.0,0.0,7.0,1.0,0.0,5.0
55,Bad,6.0,8.0,7.0,9.0,6.0,0.0,0.0,5.0,-7.0,7,8,5.0,0.0,6.0,0.0,0.0,0.0,7.0,-8.0,4.0,0.0,1.0,8.0
56,Bad,6.0,3.0,6.0,2.0,3.0,0.0,0.0,5.0,-7.0,7,8,3.0,1.0,6.0,0.0,0.0,0.0,5.0,9.0,4.0,1.0,0.0,6.0
57,Bad,5.0,4.0,5.0,3.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,1.0,0.0,3.0,3.0,7.0,6.0,6.0,0.0,0.0,8.0
58,Bad,0.0,1.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,3,3,5.0,2.0,3.0,0.0,2.0,2.0,9.0,6.0,5.0,1.0,2.0,8.0
59,Bad,5.0,7.0,8.0,9.0,6.0,0.0,0.0,2.0,4.0,6,6,6.0,0.0,3.0,0.0,0.0,0.0,6.0,-8.0,7.0,0.0,2.0,8.0
60,Bad,2.0,4.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,3,5,2.0,1.0,4.0,0.0,3.0,3.0,5.0,9.0,5.0,1.0,2.0,5.0
61,Bad,7.0,2.0,5.0,3.0,8.0,0.0,0.0,5.0,-7.0,7,8,8.0,1.0,9.0,0.0,1.0,1.0,4.0,8.0,3.0,3.0,0.0,6.0
62,Good,7.0,2.0,5.0,5.0,4.0,0.0,0.0,5.0,-7.0,7,8,4.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,-8.0,7.0
63,Bad,1.0,7.0,6.0,5.0,9.0,1.0,1.0,0.0,3.0,4,6,9.0,1.0,8.0,0.0,1.0,1.0,8.0,5.0,6.0,3.0,3.0,8.0
64,Bad,3.0,4.0,6.0,5.0,9.0,0.0,0.0,5.0,1.0,4,6,9.0,1.0,6.0,0.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0,2.0
65,Bad,5.0,4.0,3.0,2.0,5.0,1.0,1.0,4.0,7.0,6,3,5.0,1.0,8.0,0.0,3.0,3.0,8.0,6.0,4.0,2.0,1.0,6.0
66,Good,5.0,9.0,4.0,7.0,9.0,0.0,0.0,5.0,-7.0,7,8,8.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,7.0,1.0,2.0,5.0
67,Bad,9.0,9.0,6.0,9.0,4.0,0.0,0.0,5.0,-7.0,7,8,4.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-8.0,2.0
68,Bad,9.0,8.0,8.0,9.0,0.0,0.0,0.0,5.0,-7.0,7,8,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,-8.0,0.0
69,Good,5.0,8.0,7.0,6.0,4.0,0.0,0.0,2.0,3.0,4,6,4.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,6.0,2.0,1.0,4.0
70,Good,7.0,2.0,1.0,3.0,8.0,0.0,0.0,3.0,7.0,6,6,9.0,3.0,6.0,0.0,0.0,0.0,4.0,2.0,5.0,3.0,0.0,4.0
71,Bad,2.0,3.0,5.0,0.0,5.0,1.0,1.0,4.0,3.0,4,6,5.0,1.0,6.0,0.0,2.0,2.0,6.0,7.0,5.0,3.0,1.0,5.0
72,Bad,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,9.0,0.0,3.0,2.0,3.0,-8.0,2.0,0.0,-8.0,8.0
73,Good,8.0,7.0,5.0,8.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,8.0,0.0,0.0,0.0,5.0,-8.0,2.0,0.0,0.0,8.0
74,Good,6.0,8.0,6.0,7.0,9.0,0.0,0.0,5.0,-8.0,6,6,9.0,0.0,5.0,0.0,2.0,2.0,3.0,-8.0,6.0,3.0,0.0,4.0
75,Good,1.0,9.0,7.0,9.0,1.0,2.0,1.0,0.0,1.0,3,4,2.0,0.0,8.0,0.0,1.0,1.0,4.0,-8.0,4.0,-8.0,-8.0,8.0
76,Good,3.0,1.0,2.0,2.0,7.0,1.0,1.0,2.0,8.0,6,2,7.0,2.0,9.0,0.0,1.0,1.0,9.0,4.0,3.0,3.0,2.0,8.0
77,Bad,3.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,8.0,6,6,3.0,2.0,5.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,2.0,7.0
78,Bad,4.0,8.0,0.0,4.0,6.0,0.0,0.0,4.0,-8.0,6,6,6.0,4.0,0.0,0.0,2.0,2.0,5.0,1.0,7.0,0.0,1.0,7.0
79,Bad,0.0,5.0,1.0,6.0,6.0,2.0,0.0,1.0,0.0,3,5,7.0,2.0,4.0,0.0,3.0,3.0,5.0,-8.0,5.0,-8.0,0.0,5.0
80,Bad,1.0,3.0,7.0,7.0,0.0,1.0,1.0,1.0,5.0,6,6,0.0,0.0,9.0,0.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,8.0
81,Bad,4.0,8.0,1.0,4.0,3.0,0.0,0.0,5.0,-7.0,5,8,4.0,4.0,4.0,0.0,0.0,0.0,9.0,8.0,6.0,1.0,3.0,5.0
82,Bad,0.0,8.0,4.0,5.0,3.0,1.0,0.0,0.0,5.0,6,5,3.0,2.0,8.0,0.0,0.0,0.0,9.0,5.0,3.0,2.0,2.0,8.0
83,Good,9.0,5.0,6.0,5.0,5.0,0.0,0.0,5.0,-7.0,7,8,4.0,0.0,6.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,2.0
84,Bad,2.0,1.0,4.0,1.0,9.0,0.0,0.0,5.0,-7.0,6,8,9.0,4.0,6.0,0.0,2.0,2.0,9.0,7.0,5.0,1.0,3.0,5.0
85,Bad,5.0,4.0,3.0,5.0,7.0,0.0,0.0,4.0,9.0,6,6,6.0,2.0,5.0,0.0,1.0,1.0,5.0,8.0,5.0,3.0,0.0,6.0
86,Bad,7.0,8.0,1.0,7.0,6.0,0.0,0.0,5.0,-7.0,7,8,6.0,1.0,0.0,0.0,1.0,1.0,4.0,-8.0,4.0,0.0,1.0,1.0
87,Good,5.0,9.0,4.0,8.0,9.0,0.0,0.0,5.0,7.0,6,6,9.0,4.0,8.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,2.0,5.0
88,Good,6.0,8.0,6.0,8.0,9.0,0.0,0.0,5.0,-8.0,6,6,9.0,1.0,5.0,0.0,0.0,0.0,6.0,4.0,5.0,3.0,1.0,5.0
89,Bad,3.0,8.0,1.0,5.0,6.0,0.0,0.0,2.0,5.0,5,6,6.0,3.0,5.0,0.0,3.0,3.0,8.0,3.0,7.0,2.0,3.0,8.0
90,Good,0.0,0.0,4.0,0.0,2.0,2.0,1.0,3.0,5.0,5,2,2.0,4.0,1.0,0.0,2.0,2.0,9.0,1.0,5.0,1.0,2.0,8.0
91,Good,9.0,6.0,8.0,8.0,2.0,0.0,0.0,5.0,-7.0,7,8,2.0,0.0,8.0,-7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0
92,Bad,6.0,4.0,1.0,2.0,5.0,0.0,0.0,5.0,-7.0,7,8,5.0,4.0,5.0,-7.0,3.0,3.0,6.0,9.0,4.0,3.0,0.0,7.0
93,Bad,3.0,2.0,1.0,4.0,4.0,0.0,0.0,3.0,5.0,6,6,4.0,4.0,5.0,-7.0,2.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0
94,Good,7.0,6.0,1.0,6.0,5.0,0.0,0.0,5.0,-7.0,7,8,5.0,2.0,6.0,-7.0,2.0,2.0,5.0,-8.0,3.0,0.0,1.0,5.0
95,Bad,4.0,4.0,5.0,7.0,6.0,0.0,0.0,4.0,-8.0,6,6,6.0,1.0,9.0,-7.0,1.0,1.0,9.0,7.0,4.0,1.0,3.0,8.0
96,Bad,4.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,-7.0,7,8,0.0,2.0,7.0,-7.0,1.0,1.0,5.0,3.0,3.0,1.0,0.0,7.0
97,Good,5.0,3.0,6.0,6.0,2.0,1.0,1.0,3.0,7.0,6,2,2.0,0.0,4.0,-7.0,0.0,0.0,5.0,-8.0,1.0,0.0,1.0,1.0
98,Bad,0.0,6.0,8.0,8.0,7.0,1.0,1.0,1.0,2.0,4,6,7.0,0.0,2.0,-7.0,1.0,1.0,9.0,6.0,7.0,0.0,3.0,8.0
99,Bad,2.0,7.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,4,6,5.0,1.0,8.0,-7.0,0.0,0.0,6.0,5.0,4.0,3.0,1.0,7.0
100,Good,9.0,3.0,7.0,9.0,3.0,0.0,0.0,5.0,-7.0,7,8,3.0,0.0,7.0,-7.0,0.0,0.0,2.0,6.0,2.0,1.0,0.0,7.0
101,Good,9.0,3.0,2.0,8.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,9.0,-7.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0
102,Good,5.0,4.0,4.0,6.0,4.0,1.0,1.0,5.0,-7.0,7,8,4.0,1.0,4.0,-7.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0
103,Bad,3.0,7.0,0.0,5.0,3.0,1.0,1.0,2.0,3.0,4,6,3.0,3.0,9.0,-7.0,3.0,3.0,7.0,3.0,3.0,3.0,1.0,8.0
104,Bad,9.0,1.0,6.0,2.0,7.0,0.0,0.0,5.0,-7.0,7,8,6.0,0.0,8.0,-7.0,1.0,1.0,0.0,-8.0,2.0,0.0,0.0,6.0
105,Bad,2.0,7.0,7.0,8.0,0.0,2.0,1.0,2.0,9.0,6,3,1.0,0.0,9.0,-7.0,1.0,1.0,-8.0,9.0,-8.0,3.0,-8.0,8.0
106,Bad,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,6,4,0.0,4.0,7.0,-7.0,0.0,0.0,8.0,-8.0,3.0,0.0,1.0,8.0
107,Good,7.0,4.0,0.0,3.0,7.0,0.0,0.0,4.0,-8.0,6,6,7.0,3.0,7.0,-7.0,1.0,1.0,1.0,4.0,4.0,3.0,0.0,4.0
108,Bad,6.0,6.0,8.0,8.0,2.0,0.0,0.0,1.0,6.0,6,6,1.0,0.0,7.0,-7.0,1.0,1.0,3.0,-8.0,1.0,0.0,0.0,8.0
109,Good,3.0,6.0,5.0,8.0,6.0,2.0,1.0,2.0,6.0,6,2,7.0,1.0,4.0,-7.0,3.0,3.0,1.0,4.0,2.0,1.0,-8.0,5.0
110,Bad,1.0,6.0,4.0,7.0,6.0,2.0,1.0,0.0,8.0,6,2,6.0,3.0,9.0,-7.0,2.0,2.0,7.0,5.0,6.0,3.0,2.0,8.0
111,Bad,2.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,4,6,3.0,1.0,7.0,-7.0,2.0,2.0,7.0,5.0,6.0,2.0,1.0,8.0
112,Bad,4.0,3.0,3.0,8.0,2.0,1.0,1.0,3.0,5.0,6,3,2.0,1.0,4.0,-7.0,0.0,0.0,9.0,-8.0,3.0,1.0,3.0,8.0
113,Bad,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0,2,3.0,1.0,5.0,-7.0,2.0,2.0,5.0,3.0,5.0,1.0,0.0,7.0
114,Bad,5.0,3.0,5.0,4.0,7.0,0.0,0.0,5.0,-7.0,6,7,6.0,2.0,7.0,-7.0,0.0,0.0,7.0,4.0,3.0,3.0,2.0,6.0
115,Bad,2.0,7.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,4,6,3.0,0.0,4.0,-7.0,1.0,1.0,7.0,1.0,3.0,0.0,1.0,7.0
116,Bad,7.0,5.0,4.0,6.0,3.0,0.0,0.0,5.0,-7.0,7,8,3.0,1.0,4.0,-7.0,0.0,0.0,3.0,8.0,6.0,1.0,1.0,5.0
117,Bad,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,-8.0,5,6,1.0,1.0,8.0,-7.0,2.0,2.0,9.0,8.0,4.0,2.0,1.0,8.0
118,Bad,0.0,4.0,1.0,5.0,6.0,0.0,0.0,3.0,1.0,4,6,6.0,2.0,9.0,-7.0,2.0,2.0,7.0,5.0,5.0,1.0,1.0,8.0
119,Bad,1.0,2.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,4,5,3.0,1.0,8.0,-7.0,2.0,2.0,8.0,-8.0,3.0,1.0,1.0,8.0
120,Bad,4.0,1.0,7.0,7.0,0.0,1.0,0.0,2.0,4.0,6,5,0.0,0.0,1.0,-7.0,0.0,0.0,6.0,-8.0,2.0,-8.0,0.0,5.0
121,Good,9.0,4.0,7.0,6.0,8.0,0.0,0.0,5.0,8.0,6,6,8.0,0.0,6.0,-7.0,0.0,0.0,1.0,-8.0,3.0,1.0,0.0,3.0
122,Good,8.0,1.0,2.0,3.0,7.0,0.0,0.0,5.0,-7.0,7,8,7.0,4.0,0.0,-7.0,3.0,3.0,3.0,-8.0,2.0,0.0,0.0,4.0
123,Bad,1.0,5.0,4.0,6.0,7.0,2.0,1.0,1.0,6.0,6,2,8.0,1.0,6.0,-7.0,2.0,2.0,5.0,9.0,7.0,0.0,1.0,8.0
124,Bad,1.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4,5,3.0,1.0,9.0,-7.0,1.0,1.0,9.0,5.0,3.0,3.0,2.0,8.0
125,Good,0.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,3,5,5.0,2.0,5.0,-7.0,2.0,2.0,7.0,7.0,3.0,1.0,1.0,7.0
126,Good,6.0,7.0,8.0,7.0,6.0,0.0,0.0,4.0,-8.0,6,6,6.0,0.0,0.0,-7.0,0.0,0.0,5.0,-8.0,4.0,-8.0,0.0,3.0
127,Bad,7.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,-7.0,7,8,0.0,2.0,9.0,-7.0,3.0,3.0,0.0,-8.0,0.0,0.0,-8.0,2.0
128,Good,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-7.0,7,8,0.0,4.0,5.0,-7.0,3.0,3.0,0.0,9.0,1.0,1.0,0.0,2.0
129,Good,7.0,6.0,2.0,8.0,7.0,0.0,0.0,5.0,1.0,4,6,7.0,4.0,5.0,1.0,2.0,2.0,1.0,9.0,4.0,1.0,0.0,8.0
130,Bad,4.0,7.0,2.0,4.0,5.0,2.0,1.0,2.0,7.0,6,3,6.0,4.0,9.0,1.0,1.0,1.0,3.0,8.0,3.0,1.0,0.0,4.0
131,Bad,1.0,-8.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,4,2,6.0,1.0,9.0,2.0,1.0,1.0,9.0,6.0,2.0,3.0,-8.0,8.0
132,Bad,0.0,7.0,2.0,4.0,8.0,2.0,1.0,2.0,1.0,1,3,9.0,4.0,9.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,0.0,8.0
133,Bad,6.0,3.0,2.0,2.0,8.0,0.0,0.0,5.0,-7.0,7,8,8.0,4.0,9.0,1.0,2.0,1.0,4.0,5.0,5.0,3.0,0.0,8.0
134,Bad,2.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0,-7.0,7,8,1.0,0.0,3.0,1.0,3.0,3.0,9.0,-8.0,6.0,0.0,2.0,8.0
135,Bad,3.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,1.0,5.0,0.0,1.0,1.0,8.0,2.0,5.0,1.0,1.0,8.0
136,Bad,5.0,2.0,4.0,5.0,6.0,0.0,0.0,5.0,-7.0,7,8,6.0,4.0,5.0,0.0,2.0,2.0,7.0,9.0,7.0,0.0,1.0,8.0
137,Bad,5.0,5.0,5.0,8.0,7.0,0.0,0.0,5.0,-7.0,7,8,7.0,1.0,2.0,2.0,0.0,0.0,6.0,5.0,7.0,2.0,1.0,5.0
138,Bad,6.0,6.0,7.0,7.0,9.0,0.0,0.0,5.0,-7.0,7,8,9.0,0.0,5.0,3.0,0.0,0.0,6.0,-8.0,7.0,0.0,2.0,6.0
139,Bad,1.0,5.0,4.0,8.0,8.0,0.0,0.0,1.0,6.0,5,6,8.0,1.0,8.0,3.0,0.0,0.0,9.0,5.0,6.0,3.0,3.0,8.0
